manifest_index,sample_id,split,question,question_sha256,answer_text,answer_int,file_name,image_sha256,image_size_bytes,metadata_width,metadata_height,actual_width,actual_height,image_format,dataset_revision
25,holocount_atomic_counting_00026,Atomic Counting,How many knife are there in the image?,2d8bdf0b8e0e99fa8edcb47a2d94b23bda1e2538df34ba354857c451b5d83eab,1,1,images/holocount_atomic_counting_00026.jpg,26ea9aaa4e4632fb3211bbf5faf9c7f268004fac152b367be151012eac02dfb5,232162,612,612,612,612,JPEG,f44cfe591e8f7e64b63a2fb080b98bffa10b45aa
26,holocount_atomic_counting_00027,Atomic Counting,How many helmet are there in the image?,6fbe0bcc8a5fa080b6d9940c3d01b6087906ec65667a5e9f4eafdee88d3e7774,1,1,images/holocount_atomic_counting_00027.jpg,e590c58cc02c0f97dc90d5df8615fdcc5bdfa4512d3002195cfbe82dcacbfc61,98534,640,426,640,426,JPEG,f44cfe591e8f7e64b63a2fb080b98bffa10b45aa
27,holocount_atomic_counting_00028,Atomic Counting,How many suitcase are there in the image?,ebe4b506247a99d0d159f85c037e91f73d2edfd8b95acf83e7cc7882681b5fd0,12,12,images/holocount_atomic_counting_00028.jpg,5df4977368f395fb8097dfe78f644ba35b8c6dacc3e84beb5e57bec6553fb44b,178737,640,372,640,372,JPEG,f44cfe591e8f7e64b63a2fb080b98bffa10b45aa
28,holocount_atomic_counting_00029,Atomic Counting,How many sandwich are there in the image?,56f8d682f07a912d18afbe99bcbd1193a69f219a6cc7fba564c6dc358f7ee819,1,1,images/holocount_atomic_counting_00029.jpg,9602378dfb7df327874ee896e5f2d6a25293ceda0dacddbd009d8a8c6ed4d5a0,179744,640,481,640,481,JPEG,f44cfe591e8f7e64b63a2fb080b98bffa10b45aa
29,holocount_atomic_counting_00030,Atomic Counting,How many baseball_bat are there in the image?,e7f0860e80bb1ef86360144960611ee77c867563376768144c18f2aac7482931,1,1,images/holocount_atomic_counting_00030.jpg,738c5becab27b4e2c5a7412f3dbea13ec2b06e9d0834297179dbe782811c38b2,209054,426,640,426,640,JPEG,f44cfe591e8f7e64b63a2fb080b98bffa10b45aa
30,holocount_atomic_counting_00031,Atomic Counting,How many boat are there in the image?,4731b820e83e6b1b743eb3ea19530ba29a65a5bd5f084ecb7c9e71d8d9f83cfa,4,4,images/holocount_atomic_counting_00031.jpg,f35a3013fe32ed3801cb4f619d78e268fc68379a8aa06979edeb005f6e84dfb8,145640,640,480,640,480,JPEG,f44cfe591e8f7e64b63a2fb080b98bffa10b45aa
31,holocount_atomic_counting_00032,Atomic Counting,How many baseball_bat are there in the image?,e7f0860e80bb1ef86360144960611ee77c867563376768144c18f2aac7482931,1,1,images/holocount_atomic_counting_00032.jpg,e251e8c419f01cec0c1c8d7e9250b20694f0396f87488f7f6dd1ae253a2f53ef,256462,640,427,640,427,JPEG,f44cfe591e8f7e64b63a2fb080b98bffa10b45aa
32,holocount_atomic_counting_00033,Atomic Counting,How many person are there in the image?,8106a5ebd2076efc6d0e7bc1ca8add18874eabb81eba5aa4243932a93b467d84,2,2,images/holocount_atomic_counting_00033.jpg,fc9bb36c0cf93d00adb8e2fe1e3fe51a94cb3b1893605bbd9698cea1f77c815a,117300,512,640,512,640,JPEG,f44cfe591e8f7e64b63a2fb080b98bffa10b45aa
33,holocount_atomic_counting_00034,Atomic Counting,How many teddy_bear are there in the image?,135d8321da4dd786ad1be59ddadad7eca48fde656ba00abff0fc3b7b7343473c,1,1,images/holocount_atomic_counting_00034.jpg,c485bab29ad50aa2137b8e87ee4e71d479d1fd4ce525aafd7deaf74857e7b1c4,137992,500,332,500,332,JPEG,f44cfe591e8f7e64b63a2fb080b98bffa10b45aa
34,holocount_atomic_counting_00035,Atomic Counting,How many umbrella are there in the image?,3abf79a6d3de0022c48557ecf94ddd6f21d5464a1ee99daa3a0a876329489d7c,11,11,images/holocount_atomic_counting_00035.jpg,73d54a3fbebf71143a39c9d6fa21c3f3b5bd2e424b812d299bd4db7d5e1a792c,140277,500,375,500,375,JPEG,f44cfe591e8f7e64b63a2fb080b98bffa10b45aa
35,holocount_atomic_counting_00036,Atomic Counting,How many chair are there in the image?,30f53d388747b3c0b2eb2002750fed69b7c8509489301b70d84a473369fa2a64,1,1,images/holocount_atomic_counting_00036.jpg,ae6c017e2766e46fc7f2177f023c6696c3fc6cc1978c0f4c6544e8e25ad956e0,696529,427,640,427,640,JPEG,f44cfe591e8f7e64b63a2fb080b98bffa10b45aa
36,holocount_atomic_counting_00037,Atomic Counting,How many teddy_bear are there in the image?,135d8321da4dd786ad1be59ddadad7eca48fde656ba00abff0fc3b7b7343473c,15,15,images/holocount_atomic_counting_00037.jpg,36154c723eb527366adc75e8e19d95bc0d2efd1b790ad2c4af1712311c2d8182,176650,640,477,640,477,JPEG,f44cfe591e8f7e64b63a2fb080b98bffa10b45aa
37,holocount_atomic_counting_00038,Atomic Counting,How many bathtub are there in the image?,fec072ae92e0c0df4f4634844a5a01fc9079d18612991e91fdb33afbe7d16372,1,1,images/holocount_atomic_counting_00038.jpg,6b2d281b1768f3482f8dec64e643670a0d02c664086fe44f01b3eae653de0357,82414,424,640,424,640,JPEG,f44cfe591e8f7e64b63a2fb080b98bffa10b45aa
38,holocount_atomic_counting_00039,Atomic Counting,How many lantern are there in the image?,a61354ebad0a297634f7ddda696ed36b39c215f5419126eb0e756292fc5e8013,1,1,images/holocount_atomic_counting_00039.jpg,067a481f738a187f67f3a9dfde79ed6ca22a6cd29e5a8cf92e496748aae1ff0e,157167,640,640,640,640,JPEG,f44cfe591e8f7e64b63a2fb080b98bffa10b45aa
39,holocount_atomic_counting_00040,Atomic Counting,How many fireplug are there in the image?,b70a902ef5b849be5080bd2a98758f5aaf134514246da1b7268ceb97ff5f5ae1,1,1,images/holocount_atomic_counting_00040.jpg,2648ff5db646406fba57f7ff5cfa7e1d65e97e6aee31b63e2e00f479a56aeab5,302335,480,640,480,640,JPEG,f44cfe591e8f7e64b63a2fb080b98bffa10b45aa
40,holocount_atomic_counting_00041,Atomic Counting,How many skirt are there in the image?,7a73269ca43e8c38e3051de5c5a4f9fc747faab7ca87736385f4865c4756109c,1,1,images/holocount_atomic_counting_00041.jpg,e1508f18c4ac16955c04c308ca464891d66e876beced4e32b408b382d0d72a33,148957,640,427,640,427,JPEG,f44cfe591e8f7e64b63a2fb080b98bffa10b45aa
41,holocount_atomic_counting_00042,Atomic Counting,How many vase are there in the image?,49b1b3740aecb349f2989179935344099fe2a39dcf5d3dda134c82973c8e37b4,1,1,images/holocount_atomic_counting_00042.jpg,2f73aa05d4f98ee9c237a2cc133ca0a223152692f011f8b9178b832b474a4e93,101701,441,500,441,500,JPEG,f44cfe591e8f7e64b63a2fb080b98bffa10b45aa
42,holocount_atomic_counting_00043,Atomic Counting,How many bus_(vehicle) are there in the image?,c873ab38be1321ad8c7cbf677e5aa3e17d4e26e4c75d779a254613aa425c21a5,2,2,images/holocount_atomic_counting_00043.jpg,cefa770ec69294cdcb9086677b1eb9645e24cddd564385d81558c16a8ddac00f,218119,640,425,640,425,JPEG,f44cfe591e8f7e64b63a2fb080b98bffa10b45aa
43,holocount_atomic_counting_00044,Atomic Counting,How many bathtub are there in the image?,fec072ae92e0c0df4f4634844a5a01fc9079d18612991e91fdb33afbe7d16372,1,1,images/holocount_atomic_counting_00044.jpg,2a804f6050ef0581b0c17482ba47639d934660483af08a03b2c150d2e9fa7221,240373,427,640,427,640,JPEG,f44cfe591e8f7e64b63a2fb080b98bffa10b45aa
44,holocount_atomic_counting_00045,Atomic Counting,How many tennis_racket are there in the image?,dbc4749ee90500da34e9e41bcc471d9044d1d8a123da2138c10cc6641380306e,2,2,images/holocount_atomic_counting_00045.jpg,d04363f8b825ebca44fd39ae8c73bf6f70d0c7f71efece6d16ce13dd82c458c3,257258,427,640,427,640,JPEG,f44cfe591e8f7e64b63a2fb080b98bffa10b45aa
45,holocount_atomic_counting_00046,Atomic Counting,How many trophy_cup are there in the image?,4af9a684e294334779b20e6d8587b49d12bc7e3199a6b89ecf87f2ba6446ad37,8,8,images/holocount_atomic_counting_00046.jpg,2bb7d1c1a054e922fc62af2de283e9d225afa91b6cf094fdc3f5d82a586c1a96,196749,640,615,640,615,JPEG,f44cfe591e8f7e64b63a2fb080b98bffa10b45aa
46,holocount_atomic_counting_00047,Atomic Counting,How many mirror are there in the image?,f7f5fb657c117af1b721e6b83743347ec20bfb26ac4452cf7fe2547007999c6a,1,1,images/holocount_atomic_counting_00047.jpg,a4cd7f45ac1ce27eaafb254b23af7c0b18a064be08870ceaaf03b2147f2ce550,155667,640,483,640,483,JPEG,f44cfe591e8f7e64b63a2fb080b98bffa10b45aa
47,holocount_atomic_counting_00048,Atomic Counting,How many suitcase are there in the image?,ebe4b506247a99d0d159f85c037e91f73d2edfd8b95acf83e7cc7882681b5fd0,3,3,images/holocount_atomic_counting_00048.jpg,a1a271d137000b1e46f6c6422a77588b26172269a2ddb71ed499ca8bd51f3146,136752,500,375,500,375,JPEG,f44cfe591e8f7e64b63a2fb080b98bffa10b45aa
48,holocount_atomic_counting_00049,Atomic Counting,How many fireplug are there in the image?,b70a902ef5b849be5080bd2a98758f5aaf134514246da1b7268ceb97ff5f5ae1,1,1,images/holocount_atomic_counting_00049.jpg,03475c2a8b459de0c9a66c671606d0c0e5015ab325c229781ae97743568a3bfa,333227,480,640,480,640,JPEG,f44cfe591e8f7e64b63a2fb080b98bffa10b45aa
49,holocount_atomic_counting_00050,Atomic Counting,How many person are there in the image?,8106a5ebd2076efc6d0e7bc1ca8add18874eabb81eba5aa4243932a93b467d84,1,1,images/holocount_atomic_counting_00050.jpg,d0ed66b03146c8c001b308d9ba601731ef6a2684b33452fac162b5160ad424c5,67088,640,426,640,426,JPEG,f44cfe591e8f7e64b63a2fb080b98bffa10b45aa
50,holocount_atomic_counting_00051,Atomic Counting,How many banana are there in the image?,c5a6d0a7e6f96a5587e043d8cb46186b30d990a2e2e0e0f9d04f167e80491653,1,1,images/holocount_atomic_counting_00051.jpg,3706b765e0214f3a3b3c62dd0dec65aba7a2436fcea1c38511bc232161ed3cf5,97607,640,480,640,480,JPEG,f44cfe591e8f7e64b63a2fb080b98bffa10b45aa
51,holocount_atomic_counting_00052,Atomic Counting,How many dress are there in the image?,68afc6a68a729cd49ca6947d7ae69eadb2c4b66fe3e5e8da3bda8dd704d92633,1,1,images/holocount_atomic_counting_00052.jpg,8a186d508baef34fe30bcf8ed1e800adcaad7959a95f83dcf5db5a5e132fbbff,299028,640,640,640,640,JPEG,f44cfe591e8f7e64b63a2fb080b98bffa10b45aa
52,holocount_atomic_counting_00053,Atomic Counting,How many bird are there in the image?,90f9f3eaad7fffbe6b10523387a707509bb1c15108a4fd7d92a41def520cdc13,13,13,images/holocount_atomic_counting_00053.jpg,ccbac2352d587e8b81ebc310503908e72088568106185b33f832f775b72ff128,213826,446,640,446,640,JPEG,f44cfe591e8f7e64b63a2fb080b98bffa10b45aa
53,holocount_atomic_counting_00054,Atomic Counting,How many necktie are there in the image?,1ec84d2c1b6425ce176031343a41c772c973b77672746ac44bdf97a990eda2df,1,1,images/holocount_atomic_counting_00054.jpg,f2a5b87c4a5249e6b7c27fac24fb1e2994ebe22fe2a2f205f33893965c64b2b9,130431,640,478,640,478,JPEG,f44cfe591e8f7e64b63a2fb080b98bffa10b45aa
54,holocount_atomic_counting_00055,Atomic Counting,How many skateboard are there in the image?,c1d6152c8a9ce85c249ce7baefa63bd05aaae42b9f64f1c5e2aed13796275cc0,12,12,images/holocount_atomic_counting_00055.jpg,f8eb14cc78f030c7110ed11ae6c520a513c3d076b75640305866d8f9a48c42f1,231758,612,612,612,612,JPEG,f44cfe591e8f7e64b63a2fb080b98bffa10b45aa
55,holocount_atomic_counting_00056,Atomic Counting,How many surfboard are there in the image?,8b564376bfa08c58176abc0c8a6970fa2a2a81ccf05b6439404db8a239ec4001,1,1,images/holocount_atomic_counting_00056.jpg,5e96b4462c6d6f427d0d403ca3eb9f00d4916e7992648ea2731eddd1d15f9023,211673,640,399,640,399,JPEG,f44cfe591e8f7e64b63a2fb080b98bffa10b45aa
56,holocount_atomic_counting_00057,Atomic Counting,How many dinghy are there in the image?,908ec2055dc05090470e49504e6f30b8e8dc7cc08db8176c4c560a0b92bcac73,1,1,images/holocount_atomic_counting_00057.jpg,0e545694e6d0cc2310fd4f78535bce64311cde8bbd2f28f2da1bf683df30a3e6,107104,480,640,480,640,JPEG,f44cfe591e8f7e64b63a2fb080b98bffa10b45aa
57,holocount_atomic_counting_00058,Atomic Counting,How many glass_(drink_container) are there in the image?,c8d6fc121116a86f7b6e51eefa4e50f4192266859506198d12693210a26ae5ac,3,3,images/holocount_atomic_counting_00058.jpg,df5f9bb449e6114cd93fb7c24f1ca424119c24c5ccf350a48739f3f590a425b8,218587,478,640,478,640,JPEG,f44cfe591e8f7e64b63a2fb080b98bffa10b45aa
58,holocount_atomic_counting_00059,Atomic Counting,How many airplane are there in the image?,1e6d6f7596bb15ad3404552c75262bede9122dcf4fc8152848292f7ac586c00c,3,3,images/holocount_atomic_counting_00059.jpg,dfe62adcf58627120d6e6e1cd933e8862ae246d4dbbf3e1d5bff68e68f22dd1b,60654,640,425,640,425,JPEG,f44cfe591e8f7e64b63a2fb080b98bffa10b45aa
59,holocount_atomic_counting_00060,Atomic Counting,How many tomato are there in the image?,3ffceb013b18e933161f3633c64108c6de1d6c22cdda7823660f36ac9dc7d184,6,6,images/holocount_atomic_counting_00060.jpg,215ba8c05689c8b1c1af7c930d835c38fc3038fbf8a3c3d7d3b0e895e6f7a133,45066,640,424,640,424,JPEG,f44cfe591e8f7e64b63a2fb080b98bffa10b45aa
60,holocount_atomic_counting_00061,Atomic Counting,How many cupcake are there in the image?,a21c45b7d859221dab0fb0c160e61f173813ede1be1126fa7a5c29b458ddf516,14,14,images/holocount_atomic_counting_00061.jpg,a9609cf5ce73db42bc337d2c2e8db3bc544ee231632b976898065a38aecccca9,184759,640,483,640,483,JPEG,f44cfe591e8f7e64b63a2fb080b98bffa10b45aa
61,holocount_atomic_counting_00062,Atomic Counting,How many pigeon are there in the image?,55f8eb646ae64d5725351f54cc3f2b0c6d32fe24f1e00d61bc4fac4d36f43160,2,2,images/holocount_atomic_counting_00062.jpg,45250574b576077bd285025c639b94febdff09d6cb9cfbed6a468d2ae56ca305,132360,640,480,640,480,JPEG,f44cfe591e8f7e64b63a2fb080b98bffa10b45aa
62,holocount_atomic_counting_00063,Atomic Counting,How many statue_(sculpture) are there in the image?,06c3eeddd4807668f49989a7ea650bc0eea36f8e6c89b88d367860ecce0e3e5a,10,10,images/holocount_atomic_counting_00063.jpg,d6fb93ef41a130b5addf42c7abf2fefa2ac906dcc1508d49ba5ffc05e914af70,221353,640,458,640,458,JPEG,f44cfe591e8f7e64b63a2fb080b98bffa10b45aa
63,holocount_atomic_counting_00064,Atomic Counting,How many doughnut are there in the image?,686bfea16c24901a1fa91234c849f158afeafd6a724a9182f33ea325dc1b3f26,12,12,images/holocount_atomic_counting_00064.jpg,afd10df17fc66146537f593c16e4815fdb63201b2b29a49c9e83cd0d4da7fb8d,146210,612,612,612,612,JPEG,f44cfe591e8f7e64b63a2fb080b98bffa10b45aa
64,holocount_atomic_counting_00065,Atomic Counting,How many computer_keyboard are there in the image?,50c988e3bb3524c54a67887fd544de29d3b90f6ffcfa6c5ab560860b1a215633,3,3,images/holocount_atomic_counting_00065.jpg,3c06cc2d2c83a6ec598b8c89e04d58bb31fe3f9dcc85fdef9ceacb4c2b9bdba4,115178,640,480,640,480,JPEG,f44cfe591e8f7e64b63a2fb080b98bffa10b45aa
65,holocount_atomic_counting_00066,Atomic Counting,How many bench are there in the image?,ab3ab42178bd710cde196e1ce1e82097ddc50377b6897292473e62eb1c09a1ab,1,1,images/holocount_atomic_counting_00066.jpg,6b821a429259c8fdb653dabf273f5649c63e3e19f47774f75c62d6e3c84a6a47,215827,640,480,640,480,JPEG,f44cfe591e8f7e64b63a2fb080b98bffa10b45aa
66,holocount_atomic_counting_00067,Atomic Counting,How many cupcake are there in the image?,a21c45b7d859221dab0fb0c160e61f173813ede1be1126fa7a5c29b458ddf516,4,4,images/holocount_atomic_counting_00067.jpg,8b127480fff0417e871fe4439d8ce8e214820ccb09152c91087c32aae07001a8,144474,612,612,612,612,JPEG,f44cfe591e8f7e64b63a2fb080b98bffa10b45aa
67,holocount_atomic_counting_00068,Atomic Counting,How many cistern are there in the image?,17bea6ce4f6fd9a7d6ad1fa792aa1204edf6a685da2104d52a0c599c0d43d868,1,1,images/holocount_atomic_counting_00068.jpg,216ee3181c068d37365ad7f2c4d57ac7b880fe3bf8969a3c1e04f95c8ff40147,77019,640,428,640,428,JPEG,f44cfe591e8f7e64b63a2fb080b98bffa10b45aa
68,holocount_atomic_counting_00069,Atomic Counting,How many bird are there in the image?,90f9f3eaad7fffbe6b10523387a707509bb1c15108a4fd7d92a41def520cdc13,15,15,images/holocount_atomic_counting_00069.jpg,c9a971fdf99e3a686302f6a97fe68a98d6e97c3091c1a525fc43f64657e42055,230138,449,640,449,640,JPEG,f44cfe591e8f7e64b63a2fb080b98bffa10b45aa
69,holocount_atomic_counting_00070,Atomic Counting,How many frisbee are there in the image?,5f659b84f1d40967ae75abc5ff39f4cfebe125c99b603c54a520f3a223843558,1,1,images/holocount_atomic_counting_00070.jpg,a49881cbc49b604375233db3b6d2aa0abd65c3ccbddba69660d01f83a31ff3d6,100256,640,415,640,415,JPEG,f44cfe591e8f7e64b63a2fb080b98bffa10b45aa
70,holocount_atomic_counting_00071,Atomic Counting,How many bird are there in the image?,90f9f3eaad7fffbe6b10523387a707509bb1c15108a4fd7d92a41def520cdc13,1,1,images/holocount_atomic_counting_00071.jpg,926cde4c1c3d87547bb1a0a10372f96b429c79b7f2e4e7b97c9be59b407c7779,127721,640,424,640,424,JPEG,f44cfe591e8f7e64b63a2fb080b98bffa10b45aa
